Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,59254,763634,873,201084,13604287,3688
5,54351,1008915,1004,184429,14280859,3779
10,52578,363353,602,178463,6001345,2449
15,55421,86210474,9284,188021,1006173371,31720
20,52538,315157,561,178345,5668537,2380
25,52606,276750,526,178524,4607083,2146
30,55443,84016010,9166,188090,977851977,31270
35,305355,581792610757,762753,1035842,6694582021486,2587389
40,55646,87074409,9331,188824,1022369932,31974
45,55784,101461986,10072,189294,1187806990,34464
50,52490,280378,529,178107,3832198,1957
55,52533,171500,414,178288,2932787,1712
60,52317,162503,403,177553,2979079,1726
65,52615,432905,657,178545,6342323,2518
70,55254,86403624,9295,187502,1013819319,31840
75,254205,365005417452,604156,862385,4199927786052,2049372
80,286295,480535420062,693206,971183,5529367576450,2351460
85,55675,65992267,8123,189105,776083557,27858
90,52906,36836,191,179699,305069,552
95,273363,435460641093,659894,927505,5011712973423,2238685
100,10995932,67546797,8218,37300726,761505942,27595
