Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,52460,232705,482,178191,4668000,2160
5,56413,85108440,9225,191532,998671817,31601
10,56435,80344687,8963,191722,939747155,30655
15,53676,1131180,1063,182483,15811580,3976
20,55788,83894850,9159,189404,980772978,31317
25,52861,288031,536,179625,4803849,2191
30,52762,180866,425,179268,2965082,1721
35,55657,93949218,9692,188892,1073528492,32764
40,55622,88073857,9384,188751,1036152549,32189
45,52519,61042,247,178191,1193081,1092
50,51144,21836539,4672,173549,253791381,15930
55,55658,92297293,9607,188839,1078080500,32834
60,52538,44550,211,178248,900597,948
65,52689,190941,436,178789,2817622,1678
70,48645,121374820,11017,164975,1399156206,37405
75,52383,345120,587,177758,4954672,2225
80,52645,34410,185,178613,821670,906
85,49091,293160551,17121,166515,3393371470,58252
90,52327,44444,210,177567,1136050,1065
95,49479,78784201,8876,167875,910053515,30167
100,52304,36714,191,177437,796989,892
